lane,repeat,metric,latency_ms_per_token,source
mpk_kernel_per_operator,0,per_token_latency,35.75,a100x1_1c0334106d66_mpk_base_r0.txt
mpk_kernel_per_operator,1,per_token_latency,35.039,a100x1_1c0334106d66_mpk_base_r1.txt
mpk_kernel_per_operator,2,per_token_latency,36.231,a100x1_1c0334106d66_mpk_base_r2.txt
mpk_kernel_per_operator,3,per_token_latency,35.877,a100x1_1c0334106d66_mpk_base_r3.txt
mpk_kernel_per_operator,4,per_token_latency,35.077,a100x1_1c0334106d66_mpk_base_r4.txt
mpk_megakernel,0,per_token_latency,11.723,a100x1_1c0334106d66_mpk_mega_r0.txt
mpk_megakernel,1,per_token_latency,11.748,a100x1_1c0334106d66_mpk_mega_r1.txt
mpk_megakernel,2,per_token_latency,11.738,a100x1_1c0334106d66_mpk_mega_r2.txt
mpk_megakernel,3,per_token_latency,11.891,a100x1_1c0334106d66_mpk_mega_r3.txt
mpk_megakernel,4,per_token_latency,11.8,a100x1_1c0334106d66_mpk_mega_r4.txt
vllm_0.23.0,0,mean_tpot,13.0,a100x1_1c0334106d66_stock_r0.txt
vllm_0.23.0,1,mean_tpot,13.01,a100x1_1c0334106d66_stock_r1.txt
vllm_0.23.0,2,mean_tpot,13.01,a100x1_1c0334106d66_stock_r2.txt
vllm_0.23.0,3,mean_tpot,13.01,a100x1_1c0334106d66_stock_r3.txt
vllm_0.23.0,4,mean_tpot,13.01,a100x1_1c0334106d66_stock_r4.txt
