operator,sequence,neptune_schedule,neptune_mean_us,inductor_min_us,neptune_over_inductor,inductor_json
prefill_global,256,sch-1-tuned,19.152867,17.749333133,1.079075283,prefill_global-b1-s256.json
prefill_global,512,sch-1-manual,51.969733,43.776001781,1.187174050,prefill_global-b1-s512.json
prefill_global,1024,sch-1-manual,155.132533,121.855996549,1.273080831,prefill_global-b1-s1024.json
prefill_global,2048,sch-1-tuned,483.921600,364.544004202,1.327471017,prefill_global-b1-s2048.json
prefill_global,4096,sch-1-manual,1601.166800,1376.255989075,1.163422221,prefill_global-b1-s4096.json
prefill_global,8192,sch-1-manual,5998.079600,4723.711967468,1.269780978,prefill_global-b1-s8192.json
prefill_global,16384,sch-1-manual,23625.542933,18735.103607178,1.261030813,prefill_global-b1-s16384.json
prefill_global,32768,sch-1-manual,84740.837267,75066.368103027,1.128878876,prefill_global-b1-s32768.json
prefill_causal,256,sch-1-manual,21.092067,20.821332932,1.013002709,prefill_causal-b1-s256.json
prefill_causal,512,sch-1-manual,43.381000,51.199998707,0.847285178,prefill_causal-b1-s512.json
prefill_causal,1024,sch-1-manual,102.994533,98.304003477,1.047714535,prefill_causal-b1-s1024.json
prefill_causal,2048,sch-1-manual,298.558133,243.711993098,1.225044896,prefill_causal-b1-s2048.json
prefill_causal,4096,sch-1-tuned,888.171200,757.759988308,1.172100947,prefill_causal-b1-s4096.json
prefill_causal,8192,sch-1-manual,3502.852933,2707.456111908,1.293780135,prefill_causal-b1-s8192.json
prefill_causal,16384,sch-1-manual,13233.145733,10216.447830200,1.295278550,prefill_causal-b1-s16384.json
prefill_causal,32768,sch-1-manual,47887.368333,40019.966125488,1.196586928,prefill_causal-b1-s32768.pytorch.json
prefill_gqa,256,sch-0-tuned,29.326733,30.719999224,0.954646291,prefill_gqa-b1-s256.json
prefill_gqa,512,sch-0-manual,64.889133,60.416001827,1.074038853,prefill_gqa-b1-s512.json
prefill_gqa,1024,sch-0-manual,173.718333,150.527998805,1.154059940,prefill_gqa-b1-s1024.json
prefill_gqa,2048,sch-0-tuned,489.327733,405.503988266,1.206714971,prefill_gqa-b1-s2048.json
prefill_gqa,4096,sch-0-tuned,1669.127933,1396.736025810,1.195020321,prefill_gqa-b1-s4096.json
prefill_gqa,8192,sch-0-manual,6798.339800,5164.031982422,1.316479027,prefill_gqa-b1-s8192.json
prefill_gqa,16384,sch-0-manual,26126.056667,19975.168228149,1.307926740,prefill_gqa-b1-s16384.json
prefill_gqa,32768,sch-0-manual,91225.507133,79070.205688477,1.153727960,prefill_gqa-b1-s32768.pytorch.json
decode_causal,256,sch-0-tuned,12.857467,15.359999612,0.837074674,decode_causal-b1-s256.pytorch.json
decode_causal,512,sch-0-tuned,15.086800,19.455999136,0.775431778,decode_causal-b1-s512.pytorch.json
decode_causal,1024,sch-0-tuned,21.612533,24.576000869,0.879416202,decode_causal-b1-s1024.pytorch.json
decode_causal,2048,sch-0-tuned,35.809800,30.719999224,1.165683623,decode_causal-b1-s2048.pytorch.json
decode_causal,4096,sch-0-tuned,58.369467,53.247999400,1.096181403,decode_causal-b1-s4096.pytorch.json
decode_causal,8192,sch-0-tuned,95.365600,93.184001744,1.023411725,decode_causal-b1-s8192.pytorch.json
decode_causal,16384,sch-0-tuned,171.732200,167.935997248,1.022605057,decode_causal-b1-s16384.pytorch.json
decode_causal,32768,sch-0-tuned,323.159667,322.560012341,1.001859047,decode_causal-b1-s32768.pytorch.json
decode_gqa,256,sch-0-tuned,10.685733,17.408000305,0.613840369,decode_gqa-b1-s256.pytorch.json
decode_gqa,512,sch-0-tuned,12.490667,27.648000047,0.451774691,decode_gqa-b1-s512.pytorch.json
decode_gqa,1024,sch-0-tuned,12.802067,33.792000264,0.378849034,decode_gqa-b1-s1024.pytorch.json
decode_gqa,2048,sch-0-tuned,16.068200,40.959998965,0.392290049,decode_gqa-b1-s2048.pytorch.json
decode_gqa,4096,sch-0-manual,23.797200,83.967998624,0.283407970,decode_gqa-b1-s4096.pytorch.json
decode_gqa,8192,sch-0-tuned,40.818933,133.120000362,0.306632611,decode_gqa-b1-s8192.pytorch.json
decode_gqa,16384,sch-0-tuned,68.398333,275.456011295,0.248309460,decode_gqa-b1-s16384.pytorch.json
decode_gqa,32768,sch-0-tuned,111.706800,503.808021545,0.221724933,decode_gqa-b1-s32768.pytorch.json
