operator,sequence,emmy_mean_us,eager_mean_us,inductor_mean_us,neptune_mean_us
prefill_global,256,26.435368939,20.206156954,20.075789408,24.091733333
prefill_global,512,70.473143033,54.235428572,53.723428931,64.859933333
prefill_global,1024,203.366398811,149.606400728,148.787200451,191.825466667
prefill_global,2048,728.576004505,457.727998495,453.631997108,551.653666667
prefill_global,4096,2670.592069626,1732.607960701,1728.000044823,2001.575466667
prefill_global,8192,8174.592018127,5065.216064453,5055.999994278,7502.633133333
prefill_global,16384,33263.616561890,20408.320426941,20393.471717834,29564.596666667
prefill_global,32768,172432.899475098,81808.895111084,84168.190002441,92427.515000000
prefill_causal,256,28.031999866,24.303340037,24.134892741,26.634666667
prefill_causal,512,66.730666161,58.948266506,58.265598615,54.246533333
prefill_causal,1024,172.458668550,121.599997083,120.234668255,129.297666667
prefill_causal,2048,462.592005730,332.287997007,335.360005498,375.401466667
prefill_causal,4096,1582.592010498,1054.719984531,1040.895998478,1129.779933333
prefill_causal,8192,5226.495981216,3350.528001785,3306.495904922,4389.272000000
prefill_causal,16384,17671.679496765,11058.176040649,11073.024272919,16581.813800000
prefill_causal,32768,70041.088104248,42851.327896118,43340.288162231,61207.570866667
prefill_gqa,256,38.183385363,36.056614839,35.964718805,35.810200000
prefill_gqa,512,93.509814956,71.121454239,70.050908761,81.271733333
prefill_gqa,1024,274.431988597,194.944001734,192.597327133,217.801200000
prefill_gqa,2048,844.799995422,560.128003359,563.199996948,619.155000000
prefill_gqa,4096,3007.488012314,1933.311998844,1926.656007767,2113.716533333
prefill_gqa,8192,8929.279804230,5649.407863617,5643.264055252,8522.910666667
prefill_gqa,16384,35146.751403809,21670.911788940,21756.928443909,28991.981200000
prefill_gqa,32768,137703.422546387,85837.825775146,87987.201690674,100425.637933333
decode_causal,256,24.680386729,22.528000176,19.455999136,15.161666667
decode_causal,512,38.840779302,27.648000047,24.576000869,19.027266667
decode_causal,1024,73.168774295,35.840000957,30.719999224,27.483733333
decode_causal,2048,148.540512469,48.128001392,41.983999312,45.495533333
decode_causal,4096,294.467554738,70.144001395,62.975998968,74.265800000
decode_causal,8192,607.300263643,119.295999408,110.592000186,122.328000000
decode_causal,16384,1384.959980845,218.111999333,203.263998032,216.661933333
decode_causal,32768,2775.040030479,409.088000655,390.144005418,410.271133333
decode_gqa,256,9.200000000,97.024003665,22.698665659,13.092400000
decode_gqa,512,17.500000000,109.881743579,27.499806427,13.634133333
decode_gqa,1024,17.300000000,256.804568427,37.229714649,16.661400000
decode_gqa,2048,18.500000000,391.871988773,41.823999956,19.816600000
decode_gqa,4096,25.200000000,916.480004787,94.208002090,30.161200000
decode_gqa,8192,42.600000000,1492.352008820,129.023998976,52.887600000
decode_gqa,16384,82.300000000,2995.711962382,247.039993604,87.793133333
decode_gqa,32768,146.500000000,6731.775999069,567.295998335,143.217400000
