operator,sequence,neptune_schedule,neptune_mean_us,neptune_min_us,library,library_mean_us,library_min_us,library_over_neptune,inductor_rep1_min_us,inductor_rep2_min_us,inductor_mean_min_us,neptune_over_inductor,eager_rep1_min_us,eager_rep2_min_us,eager_mean_min_us,eager_over_inductor
prefill_global,256,sch-1-tuned,24.091733333,23.936000000,torch(cudnn),20.940800000,20.768000000,0.869211016,23.552000523,25.599999353,24.575999938,0.980295141,24.576000869,25.599999353,25.088000111,1.020833340
prefill_global,512,sch-1-manual,64.859933333,63.328000000,torch(cudnn),51.340866667,47.488000000,0.791565209,56.320000440,57.344000787,56.832000613,1.141257261,56.320000440,56.320000440,56.320000440,0.990990988
prefill_global,1024,sch-1-manual,191.825466667,190.272000000,torch(cudnn),130.782133333,130.240000000,0.681776698,150.527998805,151.552006602,151.040002704,1.270030874,151.552006602,150.527998805,151.040002704,1.000000000
prefill_global,2048,sch-1-manual,551.653666667,547.138000000,tridao,428.378733333,427.713000000,0.776535640,453.631997108,455.680012703,454.656004906,1.213342969,453.631997108,455.680012703,454.656004906,1.000000000
prefill_global,4096,sch-1-manual,2001.575466667,1998.182000000,tridao,1627.379400000,1626.789000000,0.813049234,1727.488040924,1727.488040924,1727.488040924,1.158662416,1727.488040924,1728.512048721,1728.000044823,1.000296386
prefill_global,8192,sch-1-manual,7502.633133333,7494.196000000,tridao,6080.276933333,6079.206000000,0.810419066,5249.023914337,5250.048160553,5249.536037445,1.429199282,5250.048160553,5251.071929932,5250.560045242,1.000195066
prefill_global,16384,sch-1-manual,29564.596666667,29551.279000000,tridao,24114.267666667,24110.916000000,0.815646766,21041.151046753,21031.936645508,21036.543846130,1.405392297,21040.128707886,21033.983230591,21037.055969238,1.000024344
prefill_global,32768,sch-1-manual,92427.515000000,91212.221000000,tridao,77077.448266667,74997.199000000,0.833923191,84808.700561523,84803.581237793,84806.140899658,1.089868187,84805.633544922,84805.633544922,84805.633544922,0.999994017
prefill_causal,256,sch-1-manual,26.634666667,26.496000000,torch(cudnn),21.536066667,21.153000000,0.808572787,27.648000047,27.648000047,27.648000047,0.963348764,27.648000047,27.648000047,27.648000047,1.000000000
prefill_causal,512,sch-1-manual,54.246533333,53.984000000,torch(cudnn),38.389400000,36.193000000,0.707683932,61.439998448,61.439998448,61.439998448,0.882918859,61.439998448,61.439998448,61.439998448,1.000000000
